# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFSFlusher.totalFlushes,1698694137009000000,1698694197018000000,1
VFSFlusher.totalContentionQuotaSpent,1698694137009000000,1698694197018000000,0
IndexesFlusher.totalFlushesRetried,1698694137009000000,1698694197018000000,0
IndexesFlusher.totalFlushingTimeUs,1698694137009000000,1698694197018000000,133243
IndexesFlusher.totalFlushes,1698694137009000000,1698694197018000000,52
IndexesFlusher.totalContentionQuotaSpent,1698694137009000000,1698694197018000000,0
VFSFlusher.totalFlushesRetried,1698694137009000000,1698694197018000000,0
VFSFlusher.totalFlushingTimeUs,1698694137009000000,1698694197018000000,10883
StorageLockContext.competingThreads.90P,1698694137009000000,1698694197018000000,0
FilePageCache.disposedBuffers,1698694137009000000,1698694197018000000,5
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1698694137009000000,1698694197018000000,0
DirectByteBufferAllocator.disposed,1698694137009000000,1698694197018000000,0
FilePageCache.uncachedFileAccess,1698694137009000000,1698694197018000000,57
StreamlinedBlobStorage.recordsAllocated,1698694137009000000,1698694197018000000,0
StreamlinedBlobStorage.recordsRelocated,1698694137009000000,1698694197018000000,0
DirectByteBufferAllocator.misses,1698694137009000000,1698694197018000000,52
FilePageCache.pageLoads,1698694137009000000,1698694197018000000,57
DirectByteBufferAllocator.hits,1698694137009000000,1698694197018000000,5
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1698694137009000000,1698694197018000000,0
StorageLockContext.competingThreads.avg,1698694137009000000,1698694197018000000,0.0
FilePageCache.maxCacheSizeInBytes,1698694137009000000,1698694197018000000,59801600
FilePageCache.pageHits,1698694137009000000,1698694197018000000,0
FilePageCache.totalPageDisposalsUs,1698694137009000000,1698694197018000000,322
FilePageCache.totalPageLoadsUs,1698694137009000000,1698694197018000000,242658
StorageLockContext.competingThreads.max,1698694137009000000,1698694197018000000,0
StreamlinedBlobStorage.recordsDeleted,1698694137009000000,1698694197018000000,0
FilePageCache.pageFastCacheHits,1698694137009000000,1698694197018000000,3416
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1698694137009000000,1698694197018000000,59801600
DirectByteBufferAllocator.reclaimed,1698694137009000000,1698694197018000000,5
FilePageCache.pageLoadsAboveSizeThreshold,1698694137009000000,1698694197018000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1698694137009000000,1698694197018000000,0
FilePageCache.capacityInBytes,1698694137009000000,1698694197018000000,524288000
FilePageCache.maxRegisteredFiles,1698694137009000000,1698694197018000000,174
FlushQueue.tasksExecuted,1698694137009000000,1698694197018000000,278
FlushQueue.waitingTimeAvgNs,1698694137009000000,1698694197018000000,1.5146970705035971E7
AWTEventQueue.dispatchTimeTotalNS,1698694137009000000,1698694197018000000,2745995655
FlushQueue.waitingTime90PNs,1698694137009000000,1698694197018000000,51380223
FlushQueue.queueSize90P,1698694137009000000,1698694197018000000,4
AWTEventQueue.dispatchTimeMaxNs,1698694137009000000,1698694197018000000,574619647
FlushQueue.waitingTimeMaxNs,1698694137009000000,1698694197018000000,242221055
AWTEventQueue.dispatchTimeAvgNs,1698694137009000000,1698694197018000000,1917749.5418994413
FlushQueue.executionTime90PNs,1698694137009000000,1698694197018000000,880639
AWTEventQueue.eventsDispatched,1698694137009000000,1698694197018000000,1432
FlushQueue.executionTimeMaxNs,1698694137009000000,1698694197018000000,574619647
AWTEventQueue.dispatchTime90PNs,1698694137009000000,1698694197018000000,1286143
FlushQueue.queueSizeMax,1698694137009000000,1698694197018000000,18
FlushQueue.queueSizeAvg,1698694137009000000,1698694197018000000,1.2877697841726619
FlushQueue.executionTimeAvgNs,1698694137009000000,1698694197018000000,4507910.992805756
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1698694137009000000,1698694197018000000,0
workspaceModel.load.cache.from.file.ms,1698694137009000000,1698694197018000000,0
workspaceModel.sync.entities.ms,1698694137009000000,1698694197018000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1698694137009000000,1698694197018000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1698694137009000000,1698694197018000000,0
jps.save.global.entities.ms,1698694137009000000,1698694197018000000,62
workspaceModel.mutableEntityStorage.remove.entity.ms,1698694137009000000,1698694197018000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1698694137009000000,1698694197018000000,0
workspaceModel.global.updates.count,1698694137009000000,1698694197018000000,0
jps.load.initial.state.ms,1698694137009000000,1698694197018000000,14
workspaceModel.global.apply.state.to.project.ms,1698694137009000000,1698694197018000000,0
jps.library.entities.serializer.load.entities.ms,1698694137009000000,1698694197018000000,0
jps.global.initialize.library.bridges.after.loading.ms,1698694137009000000,1698694197018000000,0
jps.library.entities.serializer.save.entities.ms,1698694137009000000,1698694197018000000,0
jps.global.get.library.ms,1698694137009000000,1698694197018000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1698694137009000000,1698694197018000000,0
jps.global.handle.changed.events.ms,1698694137009000000,1698694197018000000,0
workspaceModel.global.updates.ms,1698694137009000000,1698694197018000000,0
workspaceModel.save.cache.to.file.ms,1698694137009000000,1698694197018000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1698694137009000000,1698694197018000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1698694137009000000,1698694197018000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1698694137009000000,1698694197018000000,0
