# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.queries,1705508870013000000,1705508930032000000,619559
FileNameCache.totalMisses,1705508870013000000,1705508930032000000,43570
workspaceModel.loading.from.cache.ms,1705508870013000000,1705508930032000000,138
workspaceModel.initializing.ms,1705508870013000000,1705508930032000000,2
workspaceModel.updates.precise.ms,1705508870013000000,1705508930032000000,19
workspaceModel.update.unloaded.entities.ms,1705508870013000000,1705508930032000000,0
workspaceModel.collect.changes.ms,1705508870013000000,1705508930032000000,0
workspaceModel.init.bridges.ms,1705508870013000000,1705508930032000000,2
workspaceModel.check.recursive.update.ms,1705508870013000000,1705508930032000000,2
workspaceModel.updates.count,1705508870013000000,1705508930032000000,3
workspaceModel.updates.ms,1705508870013000000,1705508930032000000,68
workspaceModel.loading.total.ms,1705508870013000000,1705508930032000000,166
workspaceModel.replace.project.model.ms,1705508870013000000,1705508930032000000,0
workspaceModel.to.snapshot.ms,1705508870013000000,1705508930032000000,1
workspaceModel.pre.handlers.ms,1705508870013000000,1705508930032000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1705508870013000000,1705508930032000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1705508870013000000,1705508930032000000,0
jps.library.entities.serializer.load.entities.ms,1705508870013000000,1705508930032000000,0
jps.global.get.library.ms,1705508870013000000,1705508930032000000,0
jps.app.storage.content.reader.load.component.ms,1705508870013000000,1705508930032000000,1
jps.facet.change.listener.before.change.events.ms,1705508870013000000,1705508930032000000,1
jps.library.entities.serializer.save.entities.ms,1705508870013000000,1705508930032000000,0
jps.global.get.libraries.ms,1705508870013000000,1705508930032000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1705508870013000000,1705508930032000000,1
jps.load.project.to.empty.storage.ms,1705508870013000000,1705508930032000000,106
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1705508870013000000,1705508930032000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1705508870013000000,1705508930032000000,0
workspaceModel.load.cache.from.file.ms,1705508870013000000,1705508930032000000,135
jps.project.serializers.load.ms,1705508870013000000,1705508930032000000,26
workspaceModel.mutableEntityStorage.add.entity.ms,1705508870013000000,1705508930032000000,12
workspaceModel.delayed.project.synchronizer.sync.ms,1705508870013000000,1705508930032000000,196
